id,establishments,%chg_lq_estabishments
1124,7892,5.45
1125,600,13.42
1126,722,16.35
1127,506,16.71
1128,1710,9.52
1129,300,21.05
1130,1570,7.61
1131,10212,3.75
1132,2682,8.35
1133,876,20.55
1134,6234,4.66
1135,610,12.48
1136,1752,14.22
1137,1526,9.78
1138,612,15.84
1139,6128,6.22
1140,14714,4.63
1141,10954,5.04
1142,434,21.08
1143,332,20.39
1144,496,19.9
1145,574,19.32
1146,892,14.52
1147,1114,12.43
1148,33004,4.6
1149,356,23.15
1150,698,18.97
1151,1258,13.26
1152,888,15.61
1153,486,19.36
1154,3726,7.05
1155,1532,12.26
1156,572,17.87
1157,28936,3.22
1158,1530,12.7
1159,20404,3.68
1160,4082,7.6
1161,892,12.37
1162,2628,8.32
1163,4906,5.54
1164,544,20.51
1165,1080,12.05
1166,1936,13.83
1167,27740,4.81
1168,9692,5.42
1169,1532,6.9
1170,988,15.61
1171,7442,7.08
1172,372,21.92
1173,1068,11.83
1174,1140,12.14
1175,1750,6.59
1176,2556,6.75
1177,270,20.88
1178,850,12.56
1179,1892,7.39
1180,3848,8.22
1181,2008,8.43
1182,2846,10.88
1183,17856,3.83
1184,6226,6.45
1185,270,26.06
1186,6520,5.59
1187,822,12.31
1188,2390,9.7
1189,1874,13.93
1190,1600,10.59
1191,1884,10.5
1192,1494,9.85
1193,440,19.39
1194,548,15.58
1195,664,15.08
1196,5126,9.21
1197,6354,6.13
1198,4556,13.7
1199,29180,4.22
1200,1942,10.94
1201,5316,7.88
1202,7828,9.89
1203,4082,7.28
1204,3194,7.8
1205,3154,11.18
1206,9324,8.96
1207,1094,13.79
1208,2338,7.52
1209,2826,10.5
1210,2486,9.34
1211,2138,17.38
1212,14256,5.5
1213,7266,4.1
1214,3078,7.99
1215,31118,4.46
1216,42886,3.38
1217,3770,5.59
1218,1362,9.14
1219,9120,3.93
1220,3894,6.61
1221,5930,5.5
1222,1456,10.14
1223,13250,4.57
1224,1912,8.1
1225,11964,4.29
1226,20532,3.23
1227,1428,7.39
1228,66136,3.07
1229,33064,4.4
1230,2982,5.78
1231,4394,7.32
1232,940,12.03
1233,3116,5.56
1234,7002,5.24
1235,5218,5.64
1236,4460,4.84
1237,27856,5.25
1238,46632,2.6
1239,18992,6.11
1240,10324,7.33
1241,35558,5.18
1242,2574,7.37
1243,54452,4.48
1244,5026,10.5
1245,37244,4.85
1246,9704,8.14
1247,112752,4.26
1248,2336,4.2
1249,50852,4.07
1250,32668,5.5
1251,64016,4.99
1252,52780,6.14
1253,31344,2.25
1254,400,15.53
1255,504,18.92
1256,4904,6.42
1257,1680,8.06
1258,1182,10.71
1259,680,10.69
1260,438,21.19
1261,1984,7.78
1262,4230,6.77
1263,972,8.58
1264,7690,5.71
1265,1708,7.27
1266,4920,6.27
1267,1674,8.36
1268,1652,6.91
1269,1618,9.28
1270,1640,15.47
1271,1114,9.67
1272,2738,6.92
1273,582,11.62
1274,2096,9.38
1275,1720,8.58
1276,4028,6.69
1277,2978,6.05
1278,14604,4.56
1279,860,9.76
1280,808,13.79
1281,7090,4.86
1282,1492,9.29
1283,1650,10.24
1284,1766,11.38
1285,2002,8.73
1286,13196,8.06
1287,2134,8.69
1288,1208,8.73
1289,752,13.77
1290,2700,7
1291,5840,6.3
1292,11608,4.25
1293,676,9.45
1294,32536,3.53
1295,156,20.16
1296,332,17.51
1297,3292,6.33
1298,1512,7.11
1299,3790,7.83
1300,9634,3.75
1301,380,18.84
1302,952,14.6
1303,38448,3.3
1304,1168,11.34
1305,3296,10.58
